# time, flux
8.000000000000000167e-03,4.800001222181669025e-01
1.600000000000000033e-02,8.383098218288635994e-01
2.400000000000000050e-02,1.136288872411971740e+00
3.200000000000000067e-02,1.434015836031407032e+00
4.000000000000000083e-02,1.701595324695234668e+00
4.800000000000000100e-02,1.953905741907079774e+00
5.600000000000000117e-02,2.183756168056371294e+00
6.400000000000000133e-02,2.398670692583272590e+00
7.200000000000000844e-02,2.595348326023401597e+00
8.000000000000001554e-02,2.778644564688248941e+00
8.800000000000002265e-02,2.946742718344256051e+00
9.600000000000002975e-02,3.103150812003583336e+00
1.040000000000000369e-01,3.246757296657900582e+00
1.120000000000000440e-01,3.380255481857480149e+00
1.200000000000000511e-01,3.502911786987984222e+00
1.280000000000000582e-01,3.616872564385394728e+00
1.360000000000000653e-01,3.721622056921536359e+00
1.440000000000000724e-01,3.818913771110549416e+00
1.520000000000000795e-01,3.908363667401060226e+00
1.600000000000000866e-01,3.991429784234467260e+00
1.680000000000000937e-01,4.067810540636493499e+00
1.760000000000001008e-01,4.138734375924563835e+00
1.840000000000001079e-01,4.203952772112653058e+00
1.920000000000001150e-01,4.264511452919915513e+00
2.000000000000001221e-01,4.320196907042902268e+00
2.080000000000001292e-01,4.371906827286443864e+00
2.160000000000001363e-01,4.419451400555614029e+00
2.240000000000001434e-01,4.463606722023774509e+00
2.320000000000001505e-01,4.504199506913893813e+00
2.400000000000001577e-01,4.541904868564284214e+00
2.480000000000001648e-01,4.576561474403497698e+00
2.560000000000001719e-01,4.608759829891680759e+00
2.640000000000001790e-01,4.638347628412542001e+00
2.720000000000001861e-01,4.665843962541102563e+00
2.800000000000001932e-01,4.691103684332457391e+00
2.880000000000002003e-01,4.714585231971462065e+00
2.960000000000002074e-01,4.736149431118661823e+00
3.040000000000002145e-01,4.756202921869691735e+00
3.120000000000002216e-01,4.774611757228508502e+00
3.200000000000002287e-01,4.791738127658111246e+00
3.280000000000002358e-01,4.807452847394300122e+00
3.360000000000002429e-01,4.822079795269847757e+00
3.440000000000002500e-01,4.835494256936963886e+00
3.520000000000002571e-01,4.847986955546356391e+00
3.600000000000002642e-01,4.859437466670376793e+00
3.680000000000002713e-01,4.870107709832042886e+00
3.760000000000002784e-01,4.879881433091799003e+00
3.840000000000002855e-01,4.888995441315958423e+00
3.920000000000002927e-01,4.897337573207938277e+00
4.000000000000002998e-01,4.905122657407367193e+00
4.080000000000003069e-01,4.912242559060623570e+00
4.160000000000003140e-01,4.918892809265495103e+00
4.240000000000003211e-01,4.924969242147589910e+00
4.320000000000003282e-01,4.930650384047510215e+00
4.400000000000003353e-01,4.935835981114441218e+00
4.480000000000003424e-01,4.940689522275178547e+00
4.560000000000003495e-01,4.945114606118260703e+00
4.640000000000003566e-01,4.949261375837230581e+00
4.720000000000003637e-01,4.953037219138536784e+00
4.800000000000003708e-01,4.956580390667591374e+00
4.880000000000003779e-01,4.959802000380446607e+00
4.960000000000003850e-01,4.962829671238100815e+00
5.040000000000003366e-01,4.965578166043728814e+00
5.120000000000003437e-01,4.968165561052569679e+00
5.200000000000003508e-01,4.970510201493825164e+00
5.280000000000003579e-01,4.972721553711799913e+00
5.360000000000003650e-01,4.974721475740398802e+00
5.440000000000003721e-01,4.976611632385343320e+00
5.520000000000003793e-01,4.978317327654917079e+00
5.600000000000003864e-01,4.979933121220880388e+00
5.680000000000003935e-01,4.981387701130156387e+00
5.760000000000004006e-01,4.982769120020548392e+00
5.840000000000004077e-01,4.984009395112801499e+00
5.920000000000004148e-01,4.985190583086049010e+00
6.000000000000004219e-01,4.986247984794816901e+00
6.080000000000004290e-01,4.987258094235028416e+00
6.160000000000004361e-01,4.988159462026501956e+00
6.240000000000004432e-01,4.989023382391733819e+00
6.320000000000004503e-01,4.989791635990926899e+00
6.400000000000004574e-01,4.990530615664694025e+00
6.480000000000004645e-01,4.991185329176961893e+00
6.560000000000004716e-01,4.991817506282278494e+00
6.640000000000004787e-01,4.992375398574480094e+00
6.720000000000004858e-01,4.992916254030295597e+00
6.800000000000004929e-01,4.993391607631208373e+00
6.880000000000005000e-01,4.993854351785421919e+00
6.960000000000005071e-01,4.994259370794106090e+00
7.040000000000005143e-01,4.994655273305815157e+00
7.120000000000005214e-01,4.995000389250934703e+00
7.200000000000005285e-01,4.995339060473229509e+00
7.280000000000005356e-01,4.995633193781929826e+00
7.360000000000005427e-01,4.995922824684974728e+00
7.440000000000005498e-01,4.996173608301211821e+00
7.520000000000005569e-01,4.996421174935793630e+00
7.600000000000005640e-01,4.996635145678932410e+00
7.680000000000005711e-01,4.996846583297105404e+00
7.760000000000005782e-01,4.997029345751875518e+00
7.840000000000005853e-01,4.997209696937708223e+00
7.920000000000005924e-01,4.997366063971629302e+00
8.000000000000005995e-01,4.997519604491674983e+00
8.080000000000006066e-01,4.997653717915660820e+00
8.160000000000006137e-01,4.997784063433550195e+00
8.240000000000006208e-01,4.997899497822721138e+00
8.320000000000006279e-01,4.998009694151302362e+00
8.400000000000006350e-01,4.998109546420937299e+00
8.480000000000006422e-01,4.998202145566980725e+00
8.560000000000006493e-01,4.998289112543001345e+00
8.640000000000006564e-01,4.998366236451984079e+00
8.720000000000006635e-01,4.998442682370312973e+00
8.800000000000006706e-01,4.998506075961621775e+00
8.880000000000006777e-01,4.998574091584857548e+00
8.960000000000006848e-01,4.998625166409930820e+00
9.040000000000006919e-01,4.998686621229878391e+00
9.120000000000006990e-01,4.998726490842600789e+00
