# position, velocity
0.000000000000000000e+00,-1.133447612087095952e-04
1.010101010101010187e-02,3.603918632190239446e-01
2.020202020202020374e-02,7.121441607214913372e-01
3.030303030303030387e-02,1.057515761368124529e+00
4.040404040404040747e-02,1.395508342408440239e+00
5.050505050505051108e-02,1.726038280522221857e+00
6.060606060606060774e-02,2.049162583841591889e+00
7.070707070707071829e-02,2.364970347929670424e+00
8.080808080808081495e-02,2.673423720758002720e+00
9.090909090909091161e-02,2.974549165209002144e+00
1.010101010101010222e-01,3.268294992268429233e+00
1.111111111111111188e-01,3.554767271100593540e+00
1.212121212121212155e-01,3.833800624298266069e+00
1.313131313131313260e-01,4.105575345509429042e+00
1.414141414141414366e-01,4.369963429095305329e+00
1.515151515151515194e-01,4.627011729754932468e+00
1.616161616161616299e-01,4.876694055626105140e+00
1.717171717171717404e-01,5.119106631989776446e+00
1.818181818181818232e-01,5.354096519887361794e+00
1.919191919191919338e-01,5.581802127091164856e+00
2.020202020202020443e-01,5.802080334972313125e+00
2.121212121212121271e-01,6.015091398898231745e+00
2.222222222222222376e-01,6.220698848806048176e+00
2.323232323232323482e-01,6.419028706732874845e+00
2.424242424242424310e-01,6.609957291057144246e+00
2.525252525252525415e-01,6.793604389540538691e+00
2.626262626262626521e-01,6.969814453545691180e+00
2.727272727272727626e-01,7.138711758801228768e+00
2.828282828282828731e-01,7.300305307075158012e+00
2.929292929292929282e-01,7.454570580674467095e+00
3.030303030303030387e-01,7.601419806674631019e+00
3.131313131313131493e-01,7.740975536962459991e+00
3.232323232323232598e-01,7.873150643768259904e+00
3.333333333333333703e-01,7.997981704668205793e+00
3.434343434343434809e-01,8.115489459345473833e+00
3.535353535353535914e-01,8.225653642066182769e+00
3.636363636363636465e-01,8.328428086793444152e+00
3.737373737373737570e-01,8.423943357652092345e+00
3.838383838383838675e-01,8.512007796997608011e+00
3.939393939393939781e-01,8.592815732343037638e+00
4.040404040404040886e-01,8.666221295402072755e+00
4.141414141414141992e-01,8.732276740373695390e+00
4.242424242424242542e-01,8.791079879787044860e+00
4.343434343434343647e-01,8.842490657469973314e+00
4.444444444444444753e-01,8.886586536389264879e+00
4.545454545454545858e-01,8.923261803219114441e+00
4.646464646464646964e-01,8.952635866905778173e+00
4.747474747474748069e-01,8.974647107409271740e+00
4.848484848484848619e-01,8.989367099715389386e+00
4.949494949494949725e-01,8.996592479979078405e+00
5.050505050505050830e-01,8.996628997362487112e+00
5.151515151515152491e-01,8.989277433923973604e+00
5.252525252525253041e-01,8.974556673776966420e+00
5.353535353535353591e-01,8.952588353035004332e+00
5.454545454545455252e-01,8.923178230220536022e+00
5.555555555555555802e-01,8.886457175844487466e+00
5.656565656565657463e-01,8.842364195804968574e+00
5.757575757575758013e-01,8.790981613443275222e+00
5.858585858585858563e-01,8.732260447211945831e+00
5.959595959595960224e-01,8.666147812247643856e+00
6.060606060606060774e-01,8.592628825085290245e+00
6.161616161616162435e-01,8.511850092705047999e+00
6.262626262626262985e-01,8.423721056170323962e+00
6.363636363636364646e-01,8.328303129406947392e+00
6.464646464646465196e-01,8.225516097254953252e+00
6.565656565656565746e-01,8.115336628155636944e+00
6.666666666666667407e-01,7.997841559546416512e+00
6.767676767676767957e-01,7.872988653853997043e+00
6.868686868686869618e-01,7.740755138487470433e+00
6.969696969696970168e-01,7.601241318560869153e+00
7.070707070707071829e-01,7.454369225378212782e+00
7.171717171717172379e-01,7.300150803516817888e+00
7.272727272727272929e-01,7.138549891988496654e+00
7.373737373737374590e-01,6.969626409862692995e+00
7.474747474747475140e-01,6.793358621490356519e+00
7.575757575757576801e-01,6.609745234428480387e+00
7.676767676767677351e-01,6.418809617651326960e+00
7.777777777777777901e-01,6.220452576820520108e+00
7.878787878787879562e-01,6.014842945827636456e+00
7.979797979797980112e-01,5.801799126281382613e+00
8.080808080808081773e-01,5.581530154387412068e+00
8.181818181818182323e-01,5.353827936240156404e+00
8.282828282828283983e-01,5.118783070871664620e+00
8.383838383838384534e-01,4.876422769476661756e+00
8.484848484848485084e-01,4.626768466395622781e+00
8.585858585858586745e-01,4.369696951688055719e+00
8.686868686868687295e-01,4.105315364400090594e+00
8.787878787878788955e-01,3.833594533630281909e+00
8.888888888888889506e-01,3.554540614192458925e+00
8.989898989898991166e-01,3.268163565123562986e+00
9.090909090909091717e-01,2.974385986611728150e+00
9.191919191919192267e-01,2.673272821887757278e+00
9.292929292929293927e-01,2.364830810448196097e+00
9.393939393939394478e-01,2.049048726317131752e+00
9.494949494949496138e-01,1.725916228578757483e+00
9.595959595959596689e-01,1.395392738762008200e+00
9.696969696969697239e-01,1.057423466180391625e+00
9.797979797979798899e-01,7.120990735433361252e-01
9.898989898989899450e-01,3.603934497392486946e-01
1.000000000000000000e+00,-1.692571967802055429e-04
